Source,Target,Weight,Type,relation
2,3,1,Non dirigé,personne_titre
4,5,1,Non dirigé,personne_titre
4,6,1,Non dirigé,personne_titre
4,7,1,Non dirigé,personne_titre
4,8,1,Non dirigé,personne_titre
4,9,1,Non dirigé,personne_lieu
10,11,1,Non dirigé,personne_titre
10,12,1,Non dirigé,personne_titre
10,13,1,Non dirigé,personne_lieu
14,15,1,Non dirigé,personne_titre
14,6,1,Non dirigé,personne_titre
14,16,1,Non dirigé,personne_lieu
17,18,1,Non dirigé,personne_titre
17,19,1,Non dirigé,personne_titre
17,20,1,Non dirigé,personne_lieu
21,22,1,Non dirigé,personne_titre
21,23,1,Non dirigé,personne_titre
24,25,1,Non dirigé,personne_titre
24,26,1,Non dirigé,personne_titre
24,27,1,Non dirigé,personne_titre
24,7,1,Non dirigé,personne_titre
28,25,1,Non dirigé,personne_titre
28,29,1,Non dirigé,personne_titre
30,15,1,Non dirigé,personne_titre
30,31,1,Non dirigé,personne_titre
30,32,1,Non dirigé,personne_lieu
33,25,1,Non dirigé,personne_titre
33,26,1,Non dirigé,personne_titre
33,29,1,Non dirigé,personne_titre
33,7,1,Non dirigé,personne_titre
34,35,1,Non dirigé,personne_titre
34,31,1,Non dirigé,personne_titre
34,32,1,Non dirigé,personne_lieu
36,12,1,Non dirigé,personne_titre
36,37,1,Non dirigé,personne_titre
36,38,1,Non dirigé,personne_lieu
39,7,1,Non dirigé,personne_titre
39,40,1,Non dirigé,personne_titre
39,8,1,Non dirigé,personne_titre
39,41,1,Non dirigé,personne_lieu
42,25,1,Non dirigé,personne_titre
42,29,1,Non dirigé,personne_titre
42,43,1,Non dirigé,personne_lieu
44,45,1,Non dirigé,personne_titre
44,46,1,Non dirigé,personne_titre
44,47,1,Non dirigé,personne_lieu
44,48,1,Non dirigé,personne_lieu
49,50,1,Non dirigé,personne_titre
49,51,1,Non dirigé,personne_titre
52,8,1,Non dirigé,personne_titre
52,53,1,Non dirigé,personne_lieu
54,25,1,Non dirigé,personne_titre
54,8,1,Non dirigé,personne_titre
54,53,1,Non dirigé,personne_lieu
55,56,1,Non dirigé,personne_titre
55,57,1,Non dirigé,personne_titre
58,56,1,Non dirigé,personne_titre
58,57,1,Non dirigé,personne_titre
59,15,1,Non dirigé,personne_titre
59,29,1,Non dirigé,personne_titre
59,60,1,Non dirigé,personne_lieu
61,25,1,Non dirigé,personne_titre
61,29,1,Non dirigé,personne_titre
62,63,1,Non dirigé,personne_titre
62,38,1,Non dirigé,personne_lieu
64,25,1,Non dirigé,personne_titre
64,12,1,Non dirigé,personne_titre
65,66,1,Non dirigé,personne_titre
65,67,1,Non dirigé,personne_lieu
68,69,1,Non dirigé,personne_titre
70,71,1,Non dirigé,personne_titre
70,69,1,Non dirigé,personne_titre
73,74,1,Non dirigé,personne_titre
73,75,1,Non dirigé,personne_titre
76,25,1,Non dirigé,personne_titre
77,78,1,Non dirigé,personne_titre
80,81,1,Non dirigé,personne_titre
80,82,1,Non dirigé,personne_lieu
83,84,1,Non dirigé,personne_titre
83,85,1,Non dirigé,personne_titre
83,86,1,Non dirigé,personne_lieu
87,81,1,Non dirigé,personne_titre
87,88,1,Non dirigé,personne_lieu
89,90,1,Non dirigé,personne_titre
91,81,1,Non dirigé,personne_titre
91,92,1,Non dirigé,personne_lieu
93,90,1,Non dirigé,personne_titre
1,97,1,Non dirigé,personne_religion
1,98,1,Non dirigé,personne_religion
2,99,1,Non dirigé,personne_religion
4,100,1,Non dirigé,personne_religion
10,98,1,Non dirigé,personne_religion
10,101,1,Non dirigé,personne_religion
14,102,1,Non dirigé,personne_religion
17,103,1,Non dirigé,personne_religion
17,100,1,Non dirigé,personne_religion
21,101,1,Non dirigé,personne_religion
24,101,1,Non dirigé,personne_religion
28,104,1,Non dirigé,personne_religion
28,100,1,Non dirigé,personne_religion
33,101,1,Non dirigé,personne_religion
34,103,1,Non dirigé,personne_religion
36,105,1,Non dirigé,personne_religion
42,106,1,Non dirigé,personne_religion
44,102,1,Non dirigé,personne_religion
44,107,1,Non dirigé,personne_religion
49,103,1,Non dirigé,personne_religion
49,102,1,Non dirigé,personne_religion
52,103,1,Non dirigé,personne_religion
52,100,1,Non dirigé,personne_religion
52,102,1,Non dirigé,personne_religion
55,100,1,Non dirigé,personne_religion
55,99,1,Non dirigé,personne_religion
55,98,1,Non dirigé,personne_religion
61,108,1,Non dirigé,personne_religion
62,108,1,Non dirigé,personne_religion
64,108,1,Non dirigé,personne_religion
68,104,1,Non dirigé,personne_religion
68,99,1,Non dirigé,personne_religion
68,98,1,Non dirigé,personne_religion
72,99,1,Non dirigé,personne_religion
73,105,1,Non dirigé,personne_religion
73,106,1,Non dirigé,personne_religion
76,100,1,Non dirigé,personne_religion
76,99,1,Non dirigé,personne_religion
77,99,1,Non dirigé,personne_religion
79,108,1,Non dirigé,personne_religion
80,106,1,Non dirigé,personne_religion
89,109,1,Non dirigé,personne_religion
89,100,1,Non dirigé,personne_religion
89,98,1,Non dirigé,personne_religion
91,103,1,Non dirigé,personne_religion
93,98,1,Non dirigé,personne_religion
95,98,1,Non dirigé,personne_religion
